,idstd,id,a4a,a6a,a2,a1c,competition_select,tax_select,vat_applicable,a4b_v4,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b1_RO,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c32,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c33,c34,c34b,c34bx,c152,c162,c172,c35a,c35b,c22b,c36,c37,c38,c39,c40a,c40b,c41a,c41b,c42,c30a,d1a1a,d1a6a,d1a6b,d1a6c,d1a6cx,d1a3,d2,d2x,d2a1,d2a1x,n3,n3x,d3a,d3b,d3c,d31x,d32,d4a,d4b,d33a,d33b,d34,d35,d36a,d36b,d37,d8,d12a,d12b,d13,d38x,d39,d14a,d14b,d40a,d40b,d41,d30a,d30b,o1,o2,o3a,o3b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e31a,e31b,e6,e11,e32,e33,e34,e35,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,g2,g3,g4,g31,g32,g33,g5a,g5b,g5bx,g30a,ge3,ge3a,ge7,ge8d,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k82,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k162,k17,k20a1,k31,k32,k21,k33,k34,k35,k36,k37,k38,k39,k40,k30,j31,j2,j3,j4,j5,j32,j33,j34,j35a,j35b,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,i30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l12a,l12a1,l31,l32,l33,l34,l35,l36,l1a,l6,l6a,l8,l37,l38,l39,l40,l41,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2a2,n2b,n2k,n2l,n2e,n2i,n2a1,n2e1,n7a,n11,n12,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
506,1174625,33306,Other Services,Small,North West,Firm,1,1,Yes,Services of motor vehicles,Other services,North West,5,No,0,Romanian,28,7,2023,12,37,2022,12,31,Romania,s1,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.R.L.,Yes,100,0,0,0,No,,2003,3,2003,20,No,No,,No,,,,1200,Yes,1.0,0.0,5.0,None,,No,,No,,,,10,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,Major obstacle,Wholesale trade of ,,,,,100,490000,Four Hundred Ninety Thousand,,,288000,Two Hundred Eighty Eight Thousand,100,0,0,,,,,,,,,,,,,30,70,No,,,,,,,,Moderate obstacle,Minor obstacle,No,,Tend to agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Between 50% and 90%,,No,Yes,"Yes, there is more competition",Yes,No,,Major obstacle,No,,,,No,,,No,,,No,,,No,,,,,,Major obstacle,No,,No,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Interest rates were not favorable,,,,Yes,20,"Internet and mobile banking, including direct debit transfer",2.0,1.0,25.0,70,"Internet and mobile banking, including direct debit transfer",1.0,Major obstacle,Tend to agree,No time was spent,Yes,1.0,No,No,,No,130.0,,"Yes, fully","Yes, fully",Yes,Refund still outstanding,,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,No obstacle,No obstacle,Minor obstacle,3,1,7,6,5,4,2,5,4,,,1,4,0,,,1.0,,4.0,No,,,,,,,No need to hire any new permanent full-time workers,,,No,,,0,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Moderate obstacle,Moderate obstacle,Access to finance,14,15,8,7,13,1,12,5,4,11,6,2,10,3,9,180000,63000.0,14200,620,1600,,,,,,1,19,28,7,2023,12,51,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,No,No,Over 250.000 to 1 million,4540,North West,Small (5-19),Other Services,Fresh,117.8429,135.04329,346.3879,12
507,1174626,33307,Fabricated Metal Products,Large,North West,Firm,1,1,Yes,Motor vehicles,Manufacturing,North West,120,No,0,Romanian,12,9,2023,13,30,2022,12,31,Romania,s2,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,Yes,100,0,0,0,Yes,100.0,2005,30,2005,18,No,Yes,ISO 9001,No,,,,4500,Yes,7.0,2.0,40.0,None,,Yes,5.0,No,,,,70,Cubic meters,,Yes,1.0,2.0,None,,No,Yes,6.0,50.0,Yes,7.0,,None,,With no difficulty at all,Very severe obstacle,Manufacturing of ,,,,,50,92300300,Ninety Two Million Three Hundred Thousand Three Hundred,51000900.0,Fifty One Million Nine Hundred,52100200,Fifty Two Million One Hundred Thousand Two Hundred,70,10,20,France,Land border crossing,7.0,,8.0,,5.0,Yes,4.0,,2.0,2015.0,90,10,No,,,,,,,,Minor obstacle,Minor obstacle,No,,Strongly agree,Strongly agree,We fixed it and took action to make sure it did not happen again,No,,No,,,,Yes,Their team's or shift performance,Promotions were based solely on performance and ability,Does not apply (spontaneous),Local â main product sold mostly in same municipality where establishment is located,4,Below 50%,,Yes,No,No change,Prices set by HQ,No,,Very severe obstacle,No,,,,No,,,No,,90.0,No,,,No,,,,,,No obstacle,No,,No,No,100,0,0,0,0,Yes,1000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,500000.0,0.0,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,Yes,99,"Internet and mobile banking, including direct debit transfer",2.0,5.0,80.0,100,"Internet and mobile banking, including direct debit transfer",1.0,No obstacle,Strongly agree,15,No,,,,,"Yes, fully",31.0,,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Minor obstacle,Very severe obstacle,Minor obstacle,Minor obstacle,No obstacle,Moderate obstacle,Moderate obstacle,7,3,6,4,5,2,1,130,101,100.0,30.0,10,80,10,90.0,5.0,,,130.0,Yes,,60.0,,4.0,,60.0,29,29.0,,No,,,0,No full-time seasonal or temporary workers,,,No,,,No,,Moderate obstacle,Major obstacle,Tax administration,7,6,11,8,10,9,12,15,2,3,14,13,1,5,4,6552000,2620800.0,43200,43000,4800,38700900.0,,4605600.0,3914760.0,11500800.0,16,19,12,9,2023,14,19,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,4,No,No,Less than 50.000,2930,North West,Large (100 or more),Fabricated Metal Products,Fresh,2.5875072,2.677895,5.4414845,29
508,1174627,33442,Construction,Large,South West Oltenia,Firm,0,1,Yes,Specialized construction activities,Other services,South West Oltenia,101,No,0,Romanian,9,8,2023,16,56,2022,12,31,Romania,s2,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,Yes,100,0,0,0,No,,1995,6,1995,28,No,Yes,ISO 14001,No,,,,10000,Yes,4.0,0.0,3.0,None,,No,,No,,,,38,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,Very severe obstacle,Construction of,,,,,100,16900000,Sixteen Million Nine Hundred Thousand,,,22300200,Twenty Two Million Three Hundred Thousand Two Hundred,100,0,0,,,,,,,,,,,,,40,60,Yes,Italy,Land border crossing,6.0,,6.0,,10.0,Moderate obstacle,Major obstacle,No,,Strongly agree,Strongly agree,We fixed it but did not take further action,No,,No,,,,Yes,The establishmentâs performance ,Promotions were based solely on performance and ability,Does not apply (spontaneous),Local â main product sold mostly in same municipality where establishment is located,5,,40.0,Yes,No,"Yes, there is more competition",Prices set by HQ,No,,Major obstacle,No,,,,No,,,No,,,No,,,No,,,,,,Very severe obstacle,No,,No,Yes,100,0,0,0,0,Yes,800000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,Yes,No,"Yes, a line of credit only",Private commercial banks,2022.0,2000000.0,Yes,No,No,No,No,Yes,2000000.0,2.0,2500000.0,No,"Yes, a line of credit only",,Application was approved in full,,,Yes,99,"Internet and mobile banking, including direct debit transfer",1.0,4.0,180.0,100,"Internet and mobile banking, including direct debit transfer",1.0,Moderate obstacle,Tend to agree,4,No,,,,,"Yes, fully",30.0,,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,Yes,Somewhat difficult,Yes,40.0,No payments or gifts are paid,,Yes,60.0,No,No,,,Very severe obstacle,Major obstacle,Very severe obstacle,Major obstacle,No obstacle,Minor obstacle,Moderate obstacle,3,1,7,4,6,5,2,101,111,,,11,90,0,,,10.0,,95.0,No,,,,,,,No need to hire any new permanent full-time workers,,,No,,,0,No full-time seasonal or temporary workers,,,No,,,No,,Major obstacle,Moderate obstacle,Inadequately educated workforce,11,9,15,10,1,5,2,13,6,12,14,8,4,3,7,7272000,1090800.0,96000,2300,3800,,,,,,16,19,9,8,2023,17,47,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,4,No,No,Over 250.000 to 1 million,4321,South West Oltenia,Large (100 or more),Construction,Fresh,1.6231138,1.7921779,3.5899038,250
509,1174628,33464,Other Manufacturing,Small,West,Firm,1,0,Yes,Textiles,Manufacturing,West,7,No,0,Romanian,5,7,2023,14,32,2022,12,31,Romania,s2,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,Yes,100,0,0,0,Yes,100.0,1992,2,1992,31,Yes,Yes,ISO 9000,No,,,,3500,No,,,,,,No,,No,,,,4,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,Minor obstacle,Manufacturing of ,,,,,100,1600000,One Million Six Hundred Thousand,1000000.0,One Million,1000000,One Million,100,0,0,,,,,,,,,,,,,70,30,No,,,,,,,,No obstacle,No obstacle,No,,Strongly agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,80,Between 50% and 90%,,Yes,No,"Yes, there is more competition",Prices are regulated,No,,Minor obstacle,No,,,,No,,,No,,70.0,No,,,No,,,,,,Moderate obstacle,No,,No,Yes,100,0,0,0,0,Yes,200000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,No,,,Yes,No,"Yes, a line of credit only",State-owned banks or government agency,2023.0,1000000.0,No,,,,,,,1.0,1000000.0,No,"Yes, a line of credit only",,Application was approved in full,,,Yes,80,Debit cards,2.0,4.0,20.0,100,"Internet and mobile banking, including direct debit transfer",20.0,Minor obstacle,Tend to agree,25,No,,,,,No,,35.0,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,No obstacle,Major obstacle,Moderate obstacle,No obstacle,Major obstacle,Moderate obstacle,3,1,6,4,5,2,7,7,6,6.0,1.0,0,6,0,6.0,0.0,,,7.0,No,,,,,,,No need to hire any new permanent full-time workers,,,No,,,0,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,Minor obstacle,Inadequately educated workforce,3,1,13,4,5,11,14,12,9,8,15,6,10,7,2,294000,76400.0,33600,2500,2800,500000.0,,420000.0,252000.0,1600000.0,1,19,5,7,2023,14,50,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,No,No,Over 250.000 to 1 million,1312,West,Small (5-19),Other Manufacturing,Fresh,67.7657,72.77383,142.46545,259
510,1174629,33519,Garments,Large,South Mutenia,Firm,0,0,Yes,Wearing apparel,Manufacturing,South Mutenia,155,No,0,Romanian,7,9,2023,16,5,2022,12,31,Romania,s1,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.R.L.,Yes,100,0,0,0,Yes,50.0,2016,210,2016,6,No,No,,Yes,Still in process,No,4600.0,12300,Yes,2.0,0.0,15.0,None,,No,,No,,,,120,Cubic meters,,No,,,,,No,No,,,Yes,1.0,,None,,With no difficulty at all,Very severe obstacle,Manufacturing of ,,,,,100,5710000,Five Million Seven Hundred Ten Thousand,4345000.0,Four Million Three Hundred Forty Five Thousand,4840000,Four Million Eight Hundred Forty Thousand,0,60,40,United Kingdom,Land border crossing,1.0,,1.0,,1.0,No,,,,2016.0,0,100,No,,,,,,,,Moderate obstacle,Minor obstacle,No,,Strongly disagree,Strongly disagree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,,Yes,Combination of short term and long term production targets,Possible to achieve with more than normal effort,Most managers and most production workers,Yes,Their team's or shift performance,Promotions were based solely on performance and ability,Rarely or never,International,4,,,No,No,"Yes, there is more competition",No,No,,No obstacle,No,,,,No,,,No,,85.0,No,,,No,,,,,,No obstacle,Yes,6500.0,No,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,No,100,"Internet and mobile banking, including direct debit transfer",1.0,0.0,35.0,100,"Internet and mobile banking, including direct debit transfer",0.0,Minor obstacle,Strongly disagree,5,Yes,1.0,No,Yes,One week or less,"Yes, fully",,30.0,"Yes, fully","Yes, fully",No,,Other,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Minor obstacle,No obstacle,Major obstacle,No obstacle,Moderate obstacle,Minor obstacle,2,1,7,6,4,5,3,155,148,148.0,7.0,8,80,60,133.0,6.0,,,80.0,No,,,,,,,25,No hires,Lack of skilled labor,No,,,0,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Minor obstacle,Minor obstacle,Electricity,14,2,11,12,1,10,9,4,3,5,13,15,7,8,6,3850000,240000.0,147600,7500,1700,60000.0,,3200000.0,45000.0,4800000.0,16,19,7,9,2023,16,52,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,No,No,Less than 50.000,1410,South Mutenia,Large (100 or more),Garments,Fresh,2.1187534,2.334651,6.7156816,174
511,1174630,33620,Garments,Large,North East,Firm,1,0,Yes,Textiles,Manufacturing,North East,214,No,0,Romanian,5,9,2023,15,30,2022,12,31,Romania,f22,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.R.L.,Yes,100,0,0,0,Yes,5.0,2012,14,2012,11,No,Yes,"ISO 9000, ISO14000",Yes,Still in process,No,492000.0,280,Yes,3.0,4.0,0.0,Don't know (spontaneous),,Yes,Don't know (spontaneous),No,,,,75,Cubic meters,,Yes,1.0,One hour or less,Don't know (spontaneous),,Yes,Yes,One day or less,0.0,No,,,,,With no difficulty at all,No obstacle,Manufacturing of ,,,,,99,23600000,Twenty Three Million Six Hundred Thousand,17900000.0,Seventeen Million Nine Hundred Thousand,17000000,Seventeen Million,1,0,99,Germany,Land border crossing,Less than one day,Don't know (spontaneous),5.0,,Don't know (spontaneous),Yes,Less than one day,5.0,Don't know (spontaneous),2012.0,3,97,Yes,Turkey,Land border crossing,2.0,,43.0,,Don't know (spontaneous),No obstacle,No obstacle,No,,Strongly agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with normal amount of effort,All managers and most production workers,No,,Promotions were based solely on performance and ability,Does not apply (spontaneous),International,Too many to count,,,Yes,No,No change,Yes,No,,No obstacle,No,,,,Yes,Automatic sewing machines,Shorter execution times,No,,80.0,Yes,Still in process,No,No,,,,,,No obstacle,No,,No,Yes,65,35,0,0,0,Yes,1000000.0,0.0,65.0,,0.0,,35.0,,0.0,,0.0,,0.0,,Yes,1000000.0,0.0,Yes,Yes,"Yes, a loan only",State-owned banks or government agency,2023.0,2500000.0,No,,,,,,,1.0,0.0,No,"Yes, a loan only",,Application was approved in full,3.0,90.0,Yes,99,"Internet and mobile banking, including direct debit transfer",3.0,Don't know (spontaneous),Don't know (spontaneous),99,"Internet and mobile banking, including direct debit transfer",Don't know (spontaneous),No obstacle,Strongly agree,20,Yes,1.0,No,No,,"Yes, fully",,Don't know (spontaneous),"Yes, fully","Yes, fully",Yes,30.0,,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,Major obstacle,Major obstacle,Major obstacle,No obstacle,No obstacle,No obstacle,3,1,7,2,4,6,5,249,227,229.0,20.0,49,160,20,85.0,10.0,,,200.0,Yes,20.0,,20.0,,99.0,,17,74.0,,No,,,249,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,Major obstacle,Tax rates,3,13,7,10,1,11,8,15,2,12,14,9,5,6,4,9000000,4000000.0,240000,18000,12000,200000.0,,Don't know (spontaneous),150000.0,4182000.0,Don't know (spontaneous),Don't know (spontaneous),5,9,2023,15,48,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with different managers/staff,1.0,30.0,5,No,No,Over 250.000 to 1 million,1392,North East,Large (100 or more),Garments,Fresh,1.2989888,1.4863994,3.8441398,101
512,1174631,33744,Garments,Medium,North East,Firm,1,0,Yes,Textiles,Manufacturing,North East,11,No,0,Romanian,20,7,2023,15,10,2022,12,31,Romania,s8,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.R.L.,Yes,100,0,0,0,No,,1998,8,1998,30,No,No,,No,,,,1500,No,,,,,,No,,No,,,,20,Cubic meters,,No,,,,,No,No,,,No,,,,,With no difficulty at all,No obstacle,Manufacturing of ,,,,,100,1000000,One Million,1000000.0,One Million,1300000,One Million Three Hundred Thousand,0,100,0,,,,,,,,,,,,2013.0,0,100,No,,,,,,,,No obstacle,No obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,International,Too many to count,,,No,No,No change,No,No,,No obstacle,No,,,,No,,,No,,70.0,No,,,No,,,,,,No obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,Yes,50000.0,0.0,Yes,No,"Yes, a line of credit only",Private commercial banks,2020.0,150000.0,No,,,,,,,1.0,150000.0,No,No,Other,,,,No,100,"Internet and mobile banking, including direct debit transfer",2.0,0.0,150.0,100,"Internet and mobile banking, including direct debit transfer",0.0,Moderate obstacle,Strongly agree,1,No,,,,,"Yes, fully",,16.0,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,4,3,7,1,6,2,5,11,32,9.0,2.0,2,7,0,9.0,1.0,,100.0,,No,,,,,,,30,No hires,Lack of skilled labor,No,,,0,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,Very severe obstacle,Inadequately educated workforce,2,11,7,4,6,14,10,12,13,15,1,8,3,9,5,600000,270000.0,18000,1500,600,0.0,,700000.0,0.0,Don't know (spontaneous),1,19,20,7,2023,15,47,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,No,No,Over 250.000 to 1 million,1312,North East,Medium (20-99),Garments,Fresh,3.3047402,3.9991539,12.865141,90
513,1174632,33950,Food,Medium,South West Oltenia,Firm,0,1,Yes,Food,Manufacturing,South West Oltenia,2,No,0,Romanian,24,8,2023,15,2,2022,12,31,Romania,s7,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,Yes,100,0,0,0,No,,1993,40,1993,30,No,Yes,"HACCP, ISO 22000",Yes,7.0,No,Don't know (spontaneous),80000,No,,,,,,No,,No,,,,200,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,Moderate obstacle,Manufacturing of ,,,,,20,28500000,Twenty Eight Million Five Hundred Thousand,24000000.0,Twenty Four Million,25000000,Twenty Five Million,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,No obstacle,No obstacle,Yes,Yes,Tend to disagree,Tend to disagree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,2,,30.0,No,No,No change,No,No,,No obstacle,No,,,,No,,,No,,90.0,No,,,No,,,,,,No obstacle,No,,No,Yes,50,50,0,0,0,Yes,20000.0,0.0,10.0,,0.0,,90.0,,0.0,,0.0,,0.0,,Yes,200000.0,100000.0,Yes,Yes,"Yes, both a line of credit and a loan",Private commercial banks,2022.0,1000000.0,Yes,Yes,No,No,No,No,1000000.0,4.0,2000000.0,No,"Yes, both a line of credit and a loan",,Application was approved in full,1000.0,30.0,No,40,Debit cards,2.0,1.0,Don't know (spontaneous),100,"Internet and mobile banking, including direct debit transfer",1.0,Moderate obstacle,Strongly agree,30,No,,,,,No,120.0,,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,Yes,Somewhat difficult,Yes,60.0,No payments or gifts are paid,,No,,,No,,,Major obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,4,2,7,3,1,5,6,68,70,32.0,36.0,3,26,3,28.0,30.0,,,65.0,No,,,,,,,No need to hire any new permanent full-time workers,,,No,,,2,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No obstacle,Moderate obstacle,Tax rates,9,2,1,14,13,11,12,10,4,8,5,15,7,3,6,4000000,1500000.0,1000000,20000,6000,20000000.0,,3000000.0,17000000.0,5000000.0,16,9,24,8,2023,15,54,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,No,No,Less than 50.000,1010,South West Oltenia,Medium (20-99),Food,Fresh,4.073301,4.874193,11.951023,232
514,1174633,33987,Other Services,Small,South Mutenia,Firm,0,1,Yes,Land transport and transport via pipelines,Other services,South Mutenia,15,No,0,Romanian,21,7,2023,12,28,2022,12,31,Romania,s1,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,Yes,100,0,0,0,No,,2015,1,2015,8,Yes,No,,No,,,,520,Yes,1.0,0.0,15.0,None,,No,,No,,,,8,Cubic meters,,No,,,,,No,No,,,No,,,,,With no difficulty at all,Moderate obstacle,Provide services of ,,,,,100,5300000,Five Million Three Hundred Thousand,,,1250000,One Million Two Hundred Fifty Thousand,70,0,30,,,,,,,,,,,,2017.0,100,0,,,,,,,,,Very severe obstacle,Moderate obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,National â main product sold mostly across the country where establishment is located,Too many to count,,40.0,No,No,"Yes, there is more competition",Yes,No,,No obstacle,No,,,,No,,,No,,,No,,,No,,,,,,Moderate obstacle,No,,Yes,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,Yes,65,"Internet and mobile banking, including direct debit transfer",2.0,1.0,32.0,80,"Internet and mobile banking, including direct debit transfer",1.0,Major obstacle,Tend to agree,10,Yes,1.0,No,No,,"Yes, partially",130.0,,"Yes, fully","Yes, fully",Yes,7.0,,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,Minor obstacle,Minor obstacle,Major obstacle,Moderate obstacle,No obstacle,No obstacle,3,7,4,5,1,2,6,15,7,,,2,13,0,,,1.0,,13.0,No,,,,,,,No need to hire any new permanent full-time workers,,,No,,,0,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Moderate obstacle,Moderate obstacle,Access to finance,3,4,5,1,12,11,6,7,15,13,14,10,8,2,9,900000,360000.0,5110,450,2300,,,,,,16,19,21,7,2023,12,54,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,No,No,Less than 50.000,4923,South Mutenia,Small (5-19),Other Services,Fresh,94.02555,109.80609,294.65005,158
515,1174634,34086,Construction,Small,South Mutenia,Firm,1,0,Yes,Specialized construction activities,Other services,South Mutenia,23,No,0,Romanian,12,6,2023,13,33,2022,12,31,Romania,s5,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.R.L.,No,100,0,0,0,Yes,50.0,2019,5,2019,4,Yes,Yes,ISO 45000,No,,,,50,No,,,,,,No,,No,,,,20,Cubic meters,,No,,,,,No,No,,,No,,,,,With no difficulty at all,No obstacle,Construction of,,,,,100,3000000,Three Million,,,825000,Eight Hundred Twenty Five Thousand,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,No obstacle,No obstacle,No,,Tend to agree,Tend to agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,No,,,,No,,Non-managers are normally not promoted,Does not apply (spontaneous),National â main product sold mostly across the country where establishment is located,10,Below 50%,,No,No,"Yes, there is more competition",No,No,,Minor obstacle,No,,,,No,,,Yes,28000.0,,No,,,No,,,,,,No obstacle,No,,No,No,50,20,30,0,0,Yes,200000.0,0.0,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,,,,Yes,Yes,"Yes, both a line of credit and a loan",Private commercial banks,2022.0,400000.0,No,,,,,,,2.0,338000.0,No,"Yes, both a line of credit and a loan",,Application was approved in full,5000.0,40.0,No,100,"Internet and mobile banking, including direct debit transfer",1.0,1.0,230.0,1,"Internet and mobile banking, including direct debit transfer",1.0,Minor obstacle,Tend to agree,5,No,,,,,"Yes, partially",,28.0,"Yes, fully","Yes, fully",Yes,Refund still outstanding,,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,5,7,1,6,3,2,4,23,8,,,12,8,3,,,3.0,100.0,,No,,,,,,,10,10.0,,No,,,0,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Minor obstacle,Tax administration,5,10,12,13,3,11,15,6,14,7,2,1,8,9,4,2170000,900000.0,400,100,1800,,,,,,16,19,12,6,2023,14,10,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,No,No,Less than 50.000,4321,South Mutenia,Small (5-19),Construction,Fresh,86.12906,103.84065,270.02222,156
